Country Name,GDP per capita (current US$)
Angola,2137.909393
Burundi,236.7954142
Benin,1428.447177
Burkina Faso,918.1525819
Botswana,7347.552382
Central African Republic,511.4847456
Cote d'Ivoire,2578.760412
Cameroon,1661.702105
"Congo, Dem. Rep.",584.1064092
"Congo, Rep.",2213.880863
Cabo Verde,3445.756536
Djibouti,3363.712048
Algeria,3765.034625
"Egypt, Arab Rep.",3876.359594
Eritrea,
Ethiopia,943.9656842
Gabon,8016.990495
Ghana,2445.290749
Guinea,1174.352972
"Gambia, The",835.5944214
Guinea-Bissau,812.962373
Equatorial Guinea,8462.28633
Kenya,2006.83224
Kiribati,
Liberia,673.0890671
Libya,6018.445207
Lesotho,1166.461667
Morocco,3496.758301
Mali,917.9130633
Mozambique,500.4448085
Mauritania,1723.013866
Mauritius,8812.108249
Malawi,642.6569158
Namibia,4729.270937
Niger,594.9251089
Nigeria,2085.030765
Rwanda,833.8298757
Sudan,764.3410034
Senegal,1606.472061
Sierra Leone,515.9320918
Somalia,445.7790165
South Sudan,
Sao Tome and Principe,2449.333442
Eswatini,4214.861688
Seychelles,13306.7256
Togo,992.3284294
Timor-Leste,1457.825128
Tunisia,3924.343925
Tanzania,1135.539673
Uganda,858.0575127
South Africa,6994.211654
Zambia,1120.630171
Zimbabwe,1737.173977
