Facility Name,Latitude,Longitude
Hospital Barra Do Dande,-8.6560,13.4919
Hospital Dos Dembos,-8.5026,14.5862
Hospital Municipal de Ambriz,-7.8522,13.1307
Hospital Municipal de Bula Atumba,-8.6742,14.7925
Hospital Municipal de Dande,-8.5835,13.6569
Hospital Municipal de Nambuangogo,-8.1328,14.2947
Hospital Municipal de Pango Aluquem,-8.7131,14.4626
Hospital Municipal de Quibaxe,-8.4996,14.5866
Hospital Provincial de Bengo ,-8.5824,13.6594
27 de Marto Health Post,,
Abrigo Anjo da Guarda Health Centre,-12.3507,13.5456
Acude Health Post,-12.4291,13.5415
Alto Kapaca Health Post,-12.9583,14.4234
Alto Liro Health Centre,-11.9854,13.9792
Alto Niva Health Centre,,
Alto-Catumbela Health Centre,-12.9500,14.7500
Asseque Health Centre,-12.5964,13.4597
Atuque Health Post,-12.9736,14.6581
Babaera Health Post,-12.8953,14.8021
Baia Farta Centro Materno Infantil,-12.6070,13.1983
Baia-Azul Health Post,-12.6196,13.2466
Baia-Elefantes Health Post,-13.2333,12.7259
Baia-Farta Municipal Hospital,-12.6082,13.2001
Bairro 80 Health Post,-13.0358,14.2766
Balanca Health Post,-12.3920,14.0901
Balombo Municipal Hospital,-12.3491,14.7701
Beato Laval (Missao Njinga) Health Centre,-12.6117,13.1957
Bela Vista Baixa Health Post,,
Bela Vista Health Post,-12.5786,13.4025
Bela Vistal  Centro Materno Infantil,-12.3687,13.5746
Benfica Health Post,-12.5688,13.4081
Benguela 70 Hospital,-12.6235,13.2321
Benguela 71 Health Post,-12.5861,13.3902
Benguela Centro Materno Infantil,-12.5803,13.4078
Benguela Provincial Hospital,-12.5732,13.4007
Benguela/Lobito Hospital,-12.3500,13.5500
Bimbas Health Post,-12.6661,13.5087
Biopio Health Post,-12.4670,13.7330
Boa Lembranta Health Post,-12.9404,12.9810
Bocoio Missao Catolica Health Post,-12.4704,14.1405
Bocoio Municipal Hospital,-12.4961,14.1361
Bolonguera Health Post,-13.5500,13.5833
Bumbua Health Post,-12.9701,14.1350
Bunjei Health Post,-13.5825,13.9431
Cachimano Health Post,-13.0216,14.0027
Cachimbumba Health Post,-12.6250,13.2373
Cacula Health Post,-11.9639,13.7861
Caimbambo Missao Catolica Health Post,-13.0258,14.0018
Caimbambo Municipal Hospital,-13.0170,14.0000
Cainde Health Post,-13.2563,14.5106
Calei Health Post,-13.0262,14.0013
Calomburaco Health Post,-12.6068,13.3777
Calombwe Health Centre,-12.5984,13.3935
Calondjindjo Health Post,-13.0312,14.6439
Calondo Health Post,-13.0310,14.0059
Calossombekwa Health Centre,-12.6116,13.4318
Calundo Health Post,-12.7833,14.5833
Cambanda Health Centre,-12.5913,13.4107
Cambangela Health Post,-12.5742,13.4522
Camuine Health Post,,
Camuine-Baixo Health Post,-13.8209,14.2066
Camunda Health Centre,-12.5934,13.4144
Cangoia Health Post,-12.5703,14.2332
Canguengo Health Post,-12.8966,13.1226
Canhamela Health Post,-13.0328,14.0174
Canjala Health Centre,-11.9714,13.9939
Canjola Health Post,-13.0653,14.8007
Caota Health Post,-12.5993,13.4111
Capilongo Health Post,-12.6242,13.6809
Cassai Health Post,-12.3825,13.5963
Casseque Health Post,-13.3202,14.7256
Cassima Vivo Health Post,-13.0259,14.0016
Cassiva Health Post,-13.0866,14.2898
Catanda Health Post,-12.7000,14.6667
Catchimbango Health Post,-12.9679,14.5297
Catengue Health Post,-13.0333,13.7500
Catumbela Municipal Hospital,-12.4317,13.5457
Caundy Health Post,-12.4371,13.5295
Cavimbi2 Health Post,-12.2014,14.3317
Cavindgiliti Health Post,,
Cawango Health Post,-12.5465,13.4318
Chacuma Health Post,-12.8668,14.7884
Chamume Health Centre,-12.7167,13.1000
Chicandula Health Post,,
Chico da Waity Health Post,-12.2793,14.8161
Chila Health Centre,-12.0660,14.4861
Chimbambo Health Post,,
Chimbassi Health Post,-13.1833,14.2000
Chimboa Health Post,-12.9667,14.4667
Chindumbo Health Centre,-12.9560,13.1085
Chinduri Health Post,-12.5905,14.2169
Chingongo Health Post,-12.3167,14.5167
Chivole Health Post,,
Cho Mujombue Health Post,-13.5855,13.9410
Chongoroi Municipal Hospital,-13.5733,13.9407
Chongoroil Centro Materno Infantil,-13.5670,13.9500
Cotel Health Post,-12.5493,13.4229
Cubal Municipal Hospital,-13.0321,14.2531
Cuball Centro Materno Infantil,-13.0333,14.2500
Cuca Health Post,-12.4637,13.5210
Cui Povoacao Health Post,,
Culango Health Post,-12.3000,13.8500
Cutembo Health Post,-13.8154,13.9702
Damba Maria Health Post,-12.5265,13.4623
Dembue Health Post,-13.0645,14.5911
Dombe Grande Communal Hospital,-12.9447,13.0978
Dumbo Oliveira Health Post,-12.9358,14.6325
Ebanga Health Centre,-12.7300,14.7300
Egipto Praia Health Post,-11.9611,13.7664
Elongo Health Post,-12.3437,14.9574
Epembe Health Post,-12.4712,14.1410
Equimina Health Centre,-13.2000,12.8000
Eyendue Health Post,-13.0311,14.0129
Fasil Health Post,-12.4622,14.1303
Fonte das Gracas Health Post,-12.3664,13.5782
Fronteira Health Centre,-12.5947,13.4222
Gama Health Post,-12.5074,13.4975
Ganda Municipal Hospital,-13.0161,14.6361
Gaspar Lopes Health Centre,,
Gato Health Post,,
Grata Centro Materno Infantil,-12.5604,13.4392
Hanha do Norte Health Post,-12.2437,13.7162
Hanja Primaria Health Post,-13.6990,13.8820
Hungulo Health Post,-12.3291,14.8880
Igreja EvangTlica Sinodal de Angola (IESA) Health Centre,,
Joaquim Kapango Health Post,-12.5852,13.4138
Kafindua Health Post,-12.3497,14.7683
Kalahanga Health Centre,-13.2219,13.4914
Kaliamuma Health Post,-12.8000,14.1500
Kambondogolo Health Post,-13.3500,14.4000
Kanbandjo Health Post,-12.3524,14.7698
Kandioguilo Health Post,,
Kanokela Health Post,-12.3389,14.7677
Kaponte Pequena Health Post,-12.5736,13.4312
Kapupa Health Centre,,
Kassanje CTE Health Post,-12.6157,13.1863
Kateke Health Post,-12.4671,14.1262
Katima Health Post,-13.0547,14.6015
Kayave Health Post,-12.7830,13.9490
Kuyo Health Post,-12.9830,12.9830
Lembi-Lembi Health Post,,
Lomboloque Health Centre,,
Lometi Health Post,-12.3760,14.5616
Lomia Health Post,-13.1940,14.1086
Lomumu Health Post,-12.8643,14.5571
Lossala Health Post,-12.9722,13.9879
Lossinja Health Post,-12.4776,13.9441
Luacho Health Post,-12.8918,13.0001
Lulambo Health Post,,
Lulandi Health Post,,
Lumaun Health Post,-12.7259,14.3863
Lumbili Health Post,-13.5810,13.9426
Lumbo Health Centre,-12.6323,13.4235
Luoluo Health Post,-12.4499,13.6095
Luongo Health Post,-12.4590,13.5497
Lussipa Health Post,-13.0232,14.6359
Macaca Health Post,-12.6108,13.1968
Mahumbulu Health Post,-13.0284,13.9941
Maka Mombolo Health Centre,-12.6280,13.2010
Malongo Missao Health Post,-13.4608,14.1087
Malowe Health Post,-13.0801,13.9804
Mange Health Post,-12.3167,14.1167
Marco Canavez Health Post,-13.0410,14.2442
Massangarala Health Centre,-12.5845,13.4054
M'Bambi Health Centre,-13.0236,14.0019
Mina Health Post,-12.6114,13.5203
Missao Catolica Health Centre,-13.0236,14.0082
Missao Dunde Health Post,-12.8835,14.5847
Missao Kapusso Health Post,-12.6964,14.4752
Monte Belo Health Centre,-12.4180,14.3949
Muhaningo Health Post,-12.6123,13.1965
Mulumba Health Centre,,
Munguavolo Health Post,,
Navegantes Health Post,-12.5309,13.4548
Ndende Health Post,-12.9482,14.4515
Ndoloma Health Post,-12.6284,13.2027
Ngoma Health Post,-13.1208,14.0996
Ningui-Ningui Health Post,-13.3243,13.8267
Nossa Senhora da Paz Hospital,-13.0404,14.2363
Nzagi Career and Technical Education Health Post,-12.3952,13.5557
Paroquia Health Post,,
Passe Health Post,-12.5667,13.9667
Posto Bom Pastor,-12.3867,13.5917
Praia Bebe Health Centre,-13.1264,13.7693
Pupira Health Post,-12.9268,13.9484
Quisquerof Health Post,-13.0359,14.2328
Rio Bom Health Post,-13.0683,14.2709
S.S. Luanga Health Centre,,
Saco Health Post,-12.8238,12.9732
Santa Cruz Health Post,-12.3979,13.5530
Santa Maria Health Post,-13.0239,14.6357
Santo Antonio Health Post,-12.6083,13.3217
Sao Joao Health Centre,-12.5000,13.5100
Sao Jose Health Post,-12.6134,13.1858
Sao Martinho de Lima Health Centre,-12.3657,13.5599
Sao Pedro de Calabria Health Post,-12.4195,13.7794
Sendje Health Post,-13.5957,13.8303
Sendje Health Post,-12.6125,13.1859
Sibol Health Post,-12.4474,14.1381
Taka Health Post,-12.5375,13.4761
Tata Health Centre,-13.0277,14.0089
Tchicuma Health Centre,,
Tchinhungo Health Post,-13.1758,13.9458
Tchitoko Health Post,-13.7057,13.9620
Tenda-Moco Health Post,-12.6300,14.5000
Tola Health Centre,-12.5464,14.3904
Tumbulo Health Post,-12.8667,14.1333
Uchi Health Post,-12.7225,13.3561
Uenge Health Post,-12.7012,13.1104
Ukende Health Post,-12.5932,13.4242
Undongo Health Post,,
Utomba Health Post,-12.5860,13.2657
Vaiva Health Post,,
Vianja Health Post,,
Vimala-Passo Health Centre,-12.8505,13.0643
Vimbalambi Health Post,-12.5200,13.5000
Vinama Health Post,-13.5775,13.9395
Wiyangombe Health Post,-13.0368,14.1155
Yambala Health Centre,,
Hospital Municipal de Andulo,-11.4847,16.6932
Hospital Municipal de Chinguar,-12.5575,16.3379
Hospital Municipal de Chitembo,-13.5082,16.7572
Hospital Municipal de Kamacupa,-12.0250,17.4773
Hospital Municipal de Katabola,-12.1415,17.2813
Hospital Municipal de Kuito,-12.3894,16.9201
Hospital Municipal de Kunhinga,-12.2355,16.7821
Hospital Municipal de Nharea,-11.4701,16.9649
Hospital Provincial de Bie,-12.3906,16.9383
Hospital Municipal de Belize,-4.6411,12.7613
Hospital Municipal de Bucu-Zau,-4.7572,12.5387
Hospital Municipal de Cabinda,-5.5601,12.1967
Hospital Municipal de Cacongo,-5.2368,12.1456
Hospital Provincial de Cabinda,-5.5711,12.1959
Aldeia-Nova Health Post,-9.2167,14.2455
Aldeia-Nova Health Post,-8.1782,15.3776
Alto Fina Health Post,,
Ambaca Municipal Hospital,-8.1833,15.3667
Banga Health Centre,-8.7311,15.1703
Bango Health Post,-8.3068,15.2794
Banza de Banze Health Post,-9.5699,14.8295
Bengueji Health Post,-9.0773,15.2520
Bessenguele Health Post,-8.6500,14.9800
Bindo Sector Health Post,-8.1500,15.2167
Bolongongo Health Centre,-8.4657,15.2530
Bonzo Health Post,-8.5654,15.2723
Bungo Health Post,-9.6902,14.6705
Cabinda Health Post,-9.1500,14.9500
Caboco Health Post,-8.5299,15.0611
Caculo-Cabata Health Post,-8.3070,15.3584
Cafuta Health Post,-8.9705,14.9598
Camame Health Centre,-8.9833,14.9833
Camame Health Post,-8.9867,14.9940
Cambambe Municipal Health Centre,-9.7500,14.5000
Cambambe Municipal Hospital,-9.6890,14.4240
Cambondo Health Centre,-9.1667,14.6667
Cana Canjungo Health Post,-8.1660,15.2820
Canguenhe Health Post,-9.5303,14.3156
Canguimbi Health Post,-8.2359,15.2534
Canhoca Health Post,-9.1299,14.8529
Canzondo Health Post,-9.2333,15.0500
Cariamba Health Post,-8.6000,15.2000
Carianga Health Post,-9.2910,14.9915
Cassoalala Health Post,-9.4833,14.3500
Catamba Health Post,-9.3000,14.7667
Catari II Health Post,-9.3369,14.9823
Catome de Cima Health Post,-9.2971,14.9375
Cavunga Health Post,-8.9201,14.6641
Caxissa Health Post,-9.5113,14.6863
Cazengo Centro Materno Infantil,-9.3048,14.8997
Cazengo Municipal Hospital,-9.3015,14.9156
Cazombo Health Post,-8.7333,15.3667
Cazua Health Post,-8.0019,15.2500
Cerca Health Post,-9.0670,14.5670
Coio Health Post,-9.0272,15.2828
Cole Health Post,-8.0731,15.2684
