Country Code,Country Name,Indicator Name,Region,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BEN,Benin,"Literacy rate, adult total (% of people ages 15 and above)",French Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.48273087,17.31061084846154,18.13849082692308,18.966370805384617,19.794250783846156,20.622130762307695,21.45001074076923,22.27789071923077,23.105770697692307,23.933650676153846,24.761530654615385,25.589410633076923,26.417290611538462,27.24517059,27.986438367,28.727706144000003,29.468973921,30.210241698,30.951509475,31.692777252000003,32.434045029,33.175312806,33.916580583000005,34.65784836,33.168913842500004,31.679979325,30.1910448075,28.70211029,29.409894943333335,30.117679596666665,30.82546425,31.533248903333334,32.241033556666665,32.94881821,34.517748516666664,36.08667882333333,37.65560913,39.22453943666667,40.79346974333333,42.36240005,43.52160008333333,44.68080011666667,45.84000015
BFA,Burkina Faso,"Literacy rate, adult total (% of people ages 15 and above)",French Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.830229759,9.1264172790625,9.422604799125,9.7187923191875,10.01497983925,10.311167359312499,10.607354879375,10.9035423994375,11.199729919500001,11.4959174395625,11.792104959625,12.0882924796875,12.38447999975,12.6806675198125,12.976855039875002,13.273042559937501,13.56923008,13.42501812,13.280806160000001,13.1365942,12.99238224,12.84817028,14.130277361428572,15.412384442857142,16.694491524285716,17.976598605714287,19.258705687142857,20.54081276857143,21.82291985,22.67255974,23.52219963,22.47257996,28.29365921,29.194479261428572,30.095299312857144,30.99611936428572,31.89693941571429,32.79775946714286,33.698579518571435,34.59939957,35.786012652500006,36.972625735,38.1592388175,39.3458519,41.57723490666667,43.80861791333333,46.04000092
BWA,Botswana,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.58090973,69.63156000833334,70.68221028666667,71.73286056500001,72.78351084333333,73.83416112166667,74.8848114,75.93546167833334,76.98611195666668,78.036762235,79.08741251333333,80.13806279166667,81.18871307,81.752159878,82.31560668600001,82.879053494,83.442500302,84.00594711,84.569393918,85.132840726,85.69628753399999,86.259734342,86.82318115,86.82318115,86.82318115,86.82318115,86.82318115,86.82318115,86.82318115,86.82318115,86.82318115
CAF,Central African Republic,"Literacy rate, adult total (% of people ages 15 and above)",French Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.23616982,19.419881385384617,20.603592950769233,21.787304516153846,22.971016081538462,24.154727646923078,25.33843921230769,26.522150777692307,27.705862343076923,28.88957390846154,30.073285473846155,31.256997039230768,32.44070860461538,33.62442017,35.0428158475,36.461211525,37.8796072025,39.29800288,40.7163985575,42.134794235,43.5531899125,44.971585590000004,46.389981267500005,47.808376945000006,49.2267726225,50.6451683,49.255912395,47.866656490000004,46.477400585,45.08814468,43.698888775,42.30963287,40.920376965,39.531121060000004,38.141865155,36.75260925,36.83301067125,36.913412092499996,36.99381351375,37.074214935,37.15461635625,37.235017777500005,37.31541919875,37.39582062,37.44291115,37.49000168,37.49000168
CIV,Ivory Coast,"Literacy rate, adult total (% of people ages 15 and above)",French Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.13927841,34.360374449000005,34.581470488,34.802566527,35.023662566,35.244758605,35.465854644000004,35.686950683,35.908046722,36.129142761,36.3502388,42.5454998,48.7407608,48.094166435,47.44757207,46.800977704999994,46.154383339999995,45.507788975,44.86119461,44.214600245,43.56800588,42.921411515,42.27481715,41.628222785,40.98162842,42.44502449,43.90842056,53.10541992,62.30241928,71.49941864,80.696418,89.89341736,89.89341736,89.89341736
GAB,Gabon,"Literacy rate, adult total (% of people ages 15 and above)",French Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2336731,72.76262705368421,73.29158100736842,73.82053496105263,74.34948891473684,74.87844286842105,75.40739682210527,75.93635077578948,76.46530472947369,76.9942586831579,77.5232126368421,78.05216659052631,78.58112054421052,79.11007449789473,79.63902845157894,80.16798240526316,80.69693635894737,81.22589031263158,81.75484426631579,82.28379822,82.68102518833334,83.07825215666666,83.47547912499999,83.87270609333333,84.26993306166668,84.66716003,84.93143971333333,85.19571939666668,85.45999908
GHA,Ghana,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.89746857,59.257428744,60.617388918,61.977349092,63.337309266,64.69726944,66.057229614,67.417189788,68.777149962,70.137110136,71.49707031,72.4398918125,73.382713315,74.3255348175,75.26835632000001,76.2111778225,77.153999325,78.09682082750001,79.03964233,79.70981979000001,80.37999725,80.37999725
GIN,Guinea,"Literacy rate, adult total (% of people ages 15 and above)",French Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.55374908,21.860930575714285,23.16811207142857,24.475293567142856,25.782475062857145,27.089656558571427,28.396838054285716,29.70401955,29.07597950857143,28.44793946714286,27.819899425714286,27.191859384285717,26.563819342857144,25.935779301428575,25.30773926,26.981764795,28.655790330000002,30.329815865,32.0038414,33.90730095,35.8107605,37.71422005,39.6176796,41.521787010000004,43.42589442,45.33000183
KEN,Kenya,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.2290802,80.79021562857143,79.35135105714285,77.91248648571428,76.47362191428572,75.03475734285715,73.59589277142857,72.1570282,73.09645843714286,74.03588867428572,74.97531891142857,75.91474914857143,76.85417938571429,77.79360962285715,78.73303986,79.43352318000001,80.1340065,80.83448982,81.53497314,81.89664967666667,82.25832621333333,82.62000275
LSO,Lesotho,"Literacy rate, adult total (% of people ages 15 and above)",British Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.25443268,85.09285142888888,83.93127017777778,82.76968892666666,81.60810767555554,80.44652642444444,79.28494517333333,78.12336392222221,76.96178267111111,75.80020142,75.967201236,76.134201052,76.301200868,76.468200684,76.6352005,77.26159994857143,77.88799939714285,78.51439884571428,79.14079829428572,79.76719774285715,80.39359719142857,81.01999664
