Open Data Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB18 Sample: 23rd - 24th October 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Gender,,Age,,,,,Social Grade,,Region,,,,,,,,Government Region,,,,,,,,,,,,Working Status,,,,,,,Marital Status,,,,,Children in Household,,,,,,Parent/ Guardian,,,,,,,,Social Media/ Messaging service (within the last month),,,,,,,,,
,,Male,Female,18-24,25-34,35-44,45-54,55+,ABC1,C2DE,North,Midlands,East,London,South,England (NET),Wales,Scotland,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,England (NET),Wales,Scotland,Working full time,Working part time,ALL WORKERS (NET),Full time student,Retired,Unemployed,Not working/ Other,Married/ Civil Partnership,Living as married,Separated/ Divorced,Widowed,Never Married,0,1,2,3+,ALL WITH CHILDREN IN HOUSEHOLD (NET),Refused,Parent/ guardian (any age),Not parent/ guardian,4 years and under,5 to 11 years,12 to 16 years,17 to 18 years,18 years and under,Over 18 years,Facebook,Twitter,LinkedIn,Google+,Pinterest,Instagram,Snapchat,Facebook Messenger,WhatsApp,Skype
profile_work_stat. Which of these applies to you?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unweighted base,2007,941,1066,182,312,373,330,810,1173,834,482,330,174,266,480,1732,99,176,86,210,186,183,147,174,266,295,185,1732,99,176,876,284,1160,87,522,67,171,902,281,187,86,538,1469,239,182,61,482,56,1128,879,168,216,146,63,454,734,1381,621,315,56,253,582,225,1171,1211,191
Base,2007,973,1034,223,308,365,332,779,1144,863,480,331,171,271,481,1734,98,175,86,208,186,186,146,171,271,295,187,1734,98,175,873,290,1163,105,488,71,180,883,281,182,81,567,1454,245,182,65,492,61,1113,894,170,219,148,66,461,713,1383,634,312,57,246,597,248,1182,1213,189
Working full time (30 or more hours per week),43%,52%,35%,26%,64%,73%,63%,18%,52%,32%,41%,42%,52%,43%,47%,44%,40%,38%,42%,41%,40%,38%,47%,52%,43%,47%,47%,44%,40%,38%,100%,-,75%,-,-,-,-,41%,62%,33%,9%,46%,42%,54%,52%,35%,51%,30%,36%,52%,53%,55%,58%,48%,55%,25%,46%,49%,70%,39%,40%,52%,44%,47%,51%,52%
Working part time (8-29 hours a week),13%,8%,17%,10%,14%,15%,11%,12%,13%,13%,14%,12%,13%,11%,13%,13%,9%,12%,10%,17%,11%,16%,7%,13%,11%,14%,12%,13%,9%,12%,-,87%,22%,-,-,-,-,14%,13%,14%,10%,10%,11%,19%,20%,17%,19%,5%,15%,9%,22%,18%,19%,30%,21%,13%,13%,14%,9%,8%,20%,14%,15%,13%,14%,11%
Working part time (Less than 8 hours a week),2%,1%,3%,2%,3%,0%,2%,2%,2%,2%,1%,1%,3%,3%,2%,2%,1%,2%,-,1%,3%,2%,1%,3%,3%,2%,2%,2%,1%,2%,-,13%,3%,-,-,-,-,3%,0%,2%,1%,2%,2%,2%,3%,6%,3%,-,3%,1%,4%,3%,2%,6%,3%,2%,2%,2%,3%,6%,2%,2%,1%,2%,2%,2%
Full time student,5%,5%,5%,40%,4%,1%,0%,0%,6%,4%,6%,5%,3%,6%,4%,5%,3%,9%,7%,4%,7%,6%,3%,3%,6%,4%,5%,5%,3%,9%,-,-,-,100%,-,-,-,1%,4%,1%,-,15%,4%,7%,7%,13%,8%,21%,1%,10%,3%,2%,2%,3%,3%,0%,5%,9%,4%,3%,7%,13%,22%,6%,6%,9%
Retired,24%,23%,26%,2%,-,-,3%,61%,20%,30%,23%,26%,22%,26%,23%,24%,33%,23%,21%,23%,24%,25%,27%,22%,26%,22%,24%,24%,33%,23%,-,-,-,-,100%,-,-,31%,12%,40%,65%,9%,32%,4%,5%,6%,4%,9%,33%,13%,1%,4%,1%,2%,3%,50%,22%,14%,8%,36%,22%,9%,3%,19%,17%,17%
Unemployed,4%,4%,3%,7%,6%,4%,5%,1%,2%,6%,5%,5%,-,3%,2%,3%,4%,4%,3%,7%,5%,4%,5%,-,3%,2%,2%,3%,4%,4%,-,-,-,-,-,100%,-,2%,2%,1%,2%,8%,3%,4%,3%,6%,4%,12%,2%,5%,3%,5%,6%,3%,4%,1%,3%,4%,3%,2%,1%,4%,7%,3%,3%,2%
