Country,Avg
Benin,4.755790187
Burkina Faso,4.083409919
Botswana,6.508683597
Central African Rep.,3.190232312
Côte d'Ivoire,5.450485643
Republic of Congo,5.376301357
Gabon,7.576749678
Ghana,5.705366581
Guinea,3.998309174
"Gambia, The",4.575928598
Kenya,5.689319541
Lesotho,4.106746394
Mali,4.175819556
Mauritania,5.352730389
Malawi,4.871522071
Niger,4.035511282
Nigeria,4.846640959
Sudan,5.212987996
Senegal,4.992312545
Sierra Leone,4.064658741
Eswatini,5.320133683
Chad,3.596452019
Uganda,5.253995654
South Africa,6.851092553
Zambia,5.105513033
Zimbabwe,5.303306537
