Country,Avg
Benin,4.755790187
Burkina Faso,4.083409919
Botswana,6.508683597
Central African Rep.,3.190232312
Côte d'Ivoire,5.450485643
Congo,5.376301357
Gabon,7.576749678
Ghana,5.705366581
Guinea,3.998309174
Gambia,4.575928598
Kenya,5.689319541
Lesotho,4.106746394
Mali,4.175819556
Mauritania,5.352730389
Malawi,4.871522071
Niger,4.035511282
Nigeria,4.846640959
Sudan,5.212987996
Senegal,4.992312545
Sierra Leone,4.064658741
Swaziland ,5.320134
Chad,3.596452019
Uganda,5.253995654
South Africa,6.851092553
Zambia,5.105513033
Zimbabwe,5.303306537
Angola,0
Burundi,0
Cameroon,0
Dem. Rep. Congo.,0
Comoros,0
Djibouti,0
Algeria,0
Egypt,0
Eritrea,0
Ethiopia,0
Guinea-Bissau,0
Eq. Guinea,0
Liberia,0
Libya,0
Morocco,0
Mozambique,0
Somalia,0
Namibia,0
Rwanda,0
S. Sudan,0
Togo,0
Tanzania,0
Tunisia,0
