,Country Name,2020
4,Angola,1631.431691
16,Burundi,233.8375103
18,Benin,1291.040972
19,Burkina Faso,857.9327297
33,Botswana,6348.832318
34,Central African Rep.,481.7462966
41,Côte d'Ivoire,2325.723705
42,Cameroon,1537.130218
43,Dem. Rep. Congo,543.9503925
44,Congo,1899.778237
46,Comoros,1407.40927
56,Djibouti,3219.701128
60,Algeria,3306.858208
67,"Egypt, Arab Rep.",3569.206841
69,Eritrea,
72,Ethiopia,936.4507576
80,Gabon,6881.714225
83,Ghana,2254.153889
85,Guinea,1078.950006
86,Gambia,757.4131116
87,Guinea-Bissau,727.5201717
88,Eq. Guinea,7198.335884
121,Kenya,1872.124026
131,Liberia,601.0630058
132,Libya,7614.325449
141,Lesotho,1050.631634
148,Morocco,3058.69165
151,Madagascar,477.6130414
158,Mali,862.453012
165,Mozambique,448.8438914
166,Mauritania,1702.486959
167,Mauritius,8632.752859
168,Malawi,636.2863096
171,Namibia,4157.019506
173,Niger,567.6698923
174,Nigeria,2097.092473
206,Sudan,615.4620972
207,Senegal,1462.808169
210,Sierra Leone,509.376594
213,Somalia,438.2551656
216,South Sudan,
219,Sao Tome and Principe,2157.840446
226,Seychelles,12193.88687
229,Chad,652.3492096
232,Togo,914.9507925
243,Tunisia,3597.218525
246,Tanzania,1076.469727
247,Uganda,822.0276815
263,South Africa,5655.867654
264,Zambia,985.132436
265,Zimbabwe,1214.50982
