year,median_price,var3
1988,85,5.2
1989,95,2.2
1990,99.95,0.6
1991,99.99,-1.7
1992,110,0
1993,100,2.1
1994,105,3.5
1995,110,2.1
1996,125,1.9
1997,127.25,4.5
1998,140,3.2
1999,150,3
2000,142,4.1
2001,146,2.2
2002,150,1.8
2003,150,3.1
2004,145,2.3
2005,146,2.7
2006,149,2.2
2007,130,2.6
2008,129,-0.2
2009,130,-4.5
2010,130,2.4
2011,100,1.1
2012,119,1.4
2013,110,1.8
2014,111,3.2
2015,120,2.4
2016,120,2.2
2017,130,2.4
2018,129,1.7
2019,127,1.6
2020,89,-11
2021,100,7.5
2022,149,
