Country,Region 
Benin,French 
Burkina Faso,French 
Botswana,British
Central African Rep.,Frech
Côte d'Ivoire,British
Congo,French 
Gabon,French 
Ghana,British 
Guinea,French 
Gambia,British 
Kenya,British 
Lesotho,British
Mali,French 
Mauritania,French 
Malawi,British 
Niger,French 
Nigeria,British 
Sudan,British 
Senegal,French 
Sierra Leone,British 
Swaziland ,British
Chad,French 
Uganda,British
South Africa,British
Zambia,British
Zimbabwe,British 
Angola,Other 
Burundi,Other 
Cameroon,Other 
Dem. Rep. Congo.,Other 
Comoros,Other 
Djibouti,Other 
Algeria,Other 
Egypt,Other 
Eritrea,Other 
Ethiopia,Other 
Guinea-Bissau,Other 
Eq. Guinea,Other 
Liberia,Other 
Libya,Other 
Morocco,Other 
Mozambique,Other 
Somalia,Other 
Namibia,Other 
Rwanda,Other 
S. Sudan,Other 
Togo,Other 
Tanzania,Other 
Tunisia,Other 
