,Tweets,Subjectivity,Polarity,country,region
0,"The person Sir Dele is supporting, is he not one of the looters of our treasury indicted by the US Government. The same Sir Dele that is supporting a known looter of public treasury is the one you wish to lead Nigeria? This life nor balance o. https//t.co/2JCrvgACPB",0.17291666666666666,0.125,Nigeria,ex-British Colony
1,"please where do we collect from, our local government office? https//t.co/2CafmecXsj",0.0,0.0,Nigeria,ex-British Colony
2,"Our expertise is in issues and crisis management, stakeholder communications and change management. Because we serve clients across diverse sectors i.e. energy, IT, education, health, government etc we are interested in everything that happens in business, politics and society.",0.5,0.25,Nigeria,ex-British Colony
3,Go and collect your PVC and be ready to chase out criminals from our government. https//t.co/2fC9BTPo3m,0.5,0.2,Nigeria,ex-British Colony
4,"8 more years to my life, that's if I'm still here to witness it.

Imagine giving 8 years of my life to another wrong chain of government. 

This is it for most of us because 8 years after today, there'll be no more fight left in us. Just like our parents. And ours will be worse.",0.5,-0.025000000000000005,Nigeria,ex-British Colony
5,republic no uaag disbursement no vote for apc. Help us to beg Nigeria government to disburse uaag grant that we subscribe for with our money,0.0,0.0,Nigeria,ex-British Colony
6," Borrowing to foot the budget is signing debts for us and unborn generations into law. A government that cannot harness the resources within NIGERIA is a failure. I can't feel the impact of our budgets, it's mere figures to me, it's painful 🙃",0.5666666666666668,-0.5055555555555555,Nigeria,ex-British Colony
7, pls beg Nigeria government to disburse our uaag grant that we use our hustle money to subscribe for,0.0,0.0,Nigeria,ex-British Colony
8,"Palliatives revealed our Government's wickedness, endsars was our first peaceful march against impunity, their show of force is what awakened this political revolution. They will learn next month that a colony of ants can make a lion run from his den.",0.2333333333333333,0.125,Nigeria,ex-British Colony
9,"  Stop stressing he only need attention, even blind man can see how buhari led government ruin our beloved Nigeria",0.8888888888888888,0.06666666666666665,Nigeria,ex-British Colony
10," And that's the kind of government we should endorse our votes again??.
Lies. Change is sincerely certain this year.",0.7357142857142858,0.40714285714285714,Nigeria,ex-British Colony
11,"  When local government funds were finally released, what was it used for?

You lots are always blinded by sentiments. Obasanjo remains our best president ever. By Miles the most intelligent of all",0.54,0.45999999999999996,Nigeria,ex-British Colony
12,"Are you twitter influencers mad innit ? 
Is Burna boy your country's government that has enslaved including you pooja!? 
You all just get mad when people around you take their business and brand seriously. Just because he complained &amp; pointed out clearly the incapacity of our https//t.co/UKPr6ynGCC",0.65,-0.38791666666666663,Nigeria,ex-British Colony
13,"Those who manipulate this unseen
mechanism of societv constitute an invisible government which is the true ruling power of our country. ..We are governed, our minds are molded, our tastes formed, our ideas suggested, largely by men we have never heard
of.",0.5392857142857143,0.28214285714285714,Nigeria,ex-British Colony
14, Are you people not ashamed of yourselves? This is the worst government i have ever seen in my life..you people have put too much pains in our lives with your selfish governance. You people must not go unpunished.,0.7333333333333334,-0.43333333333333335,Nigeria,ex-British Colony
15,  IpobDOS     Nigeria  Fulanis must not have an inch of our land. The Nigerian government must understand that this present generation of Biafrans cannot be intimidated by thier terrorism act in other to grab our land.,0.1875,-0.0625,Nigeria,ex-British Colony
16,Every day  we fear for our lives. Some of us were enslaved by Government &amp; Forced to kill our own families for money ...,0.6,0.14999999999999997,Nigeria,ex-British Colony
17,"citizens. How about adding incentives to water transport usage? How about investing in getting more boats with long term maintenance on our various waterways? Government tbh isn't rocket science. Lagos can afford these things but then, we ain't ready.",0.475,0.1625,Nigeria,ex-British Colony
18,"   gawat          Tosyn Lmao 🤣 but if we decide to go that way you will call our government bigotry. Make Una SHA thread carefully there is something called boundary be sincere with yourself can this happen in your hometown where a fulani man can go represent the NDI Igbo of Nbise, IMO, or AWKA?",0.8333333333333334,0.3333333333333333,Nigeria,ex-British Colony
19," Bad people voting bad government 
Bad government giving bad people police job 
Bad police killing the citizens 
Bad people turning to UGM killing people and police men
Such is life.
We b our own very problems",0.6444444444444444,-0.37777777777777766,Nigeria,ex-British Colony
20," So sad seeing and hearing bad news on my TL everyday anyways nobody's fault when senseless citizens voting bad people into the government and government giving thieves and killers as the security personnel around us
Abeg we b the real our problems.",0.6466666666666667,-0.37999999999999995,Nigeria,ex-British Colony
21, It's time Nigerian government look into our hospital sector,0.0,0.0,Nigeria,ex-British Colony
22," Lagos get ready for Emanicipation. it start by collecting your PVC; PVC Collection continues at INEC offices in our Local Government Areas LGA or your Local Community Development Area LCDA from now still 22 January, 2023. Also visit your ward for collection starting from 6/1/2023",0.15,0.05,Nigeria,ex-British Colony
23,"Women Federal government cabals are trying by all means to use the poor masses grant money to replace the trillions they stole from Nigerian government that is why the do not want to disburse the grants meant for the poor masses and 97% of Nigerian families are poor,come for our Rescue https//t.co/dtVRCoPg3x",0.6,-0.4,Nigeria,ex-British Colony
24," I hope Nigeria isn't part of those countries?
Cos our government might just name Nigeria as Pele",0.0,0.0,Nigeria,ex-British Colony
25,"Buhar Vibes I was merely economical with words. How did the guy escape arrest all the way from Brazil? How many of these drug peddlers escape at the Brazilian airports, but got arrested in Nigeria? Our government has done so much more in this regard.",0.475,0.3125,Nigeria,ex-British Colony
26,"We said we want the following;
1. Prudence in government.
2. Right-thinking person
3. Capacity
4. Competent fellow
5. Good Character
6. Human feelings
7. Progressive
As a president of our nation and God gives us Obi u are still having objection, you need oraimo cord to be wiped.",0.3666666666666667,0.3,Nigeria,ex-British Colony
27,"We the citizens, the first victim of the bad government. Our endorsement and vote for Peter Obi is much more important than anything else. We are the Obidient!",0.51,0.09500000000000001,Nigeria,ex-British Colony
28,"  UN gave Nigerian masses grant to alleviate poverty in our various families, federal government cabals are training by all means to hijack the money meant for the masses to their various account,listen to our voices all over the world and come for our rescue..",0.5,0.0,Nigeria,ex-British Colony
29,This has always been my position regarding almajiranci. But our people (their parents in particular) like blaming others for their misdeeds hence majority of them blame the ‘system’ aka government. Allah sa mu dace. https//t.co/Kj8eZHckVR,0.3333333333333333,0.16666666666666666,Nigeria,ex-British Colony
30,Do feedback really works in effective governance? If yes the level of complains in our nation on a daily’s is enough to pilot world class and seamless governance. Are the feed backs primary or secondary data? Plenty work to do as citizens to enhance government.,0.34285714285714286,0.14285714285714285,Nigeria,ex-British Colony
31, I finally got my pvc but when I got there I saw plenty pvc that hasn’t been collected please let’s go and get our pvc it’s readily available. We need to vote out bad greedy and selfish government,0.7666666666666666,-0.19999999999999996,Nigeria,ex-British Colony
