Year,type,Weight
2017,suit ,1.62
2017,shirt,1.1
2017,trousers ,0.55
2017,blouse,1.08
2017,tie,1.25
2017,jacket ,1.1
2017,smart shoes,0.44
2018,suit ,1.1
2018,shirt,1.04
2018,trousers ,0.52
2018,blouse,0.88
2018,tie,1.25
2018,jacket ,1.04
2018,smart shoes,0.48
2019,suit ,1.02
2019,shirt,1.02
2019,trousers ,0.78
2019,blouse,0.51
2019,tie,0.52
2019,jacket ,1.02
2019,smart shoes,0.44
2020,suit ,0.94
2020,shirt,0.94
2020,trousers ,0.47
2020,blouse,0.47
2020,tie,0.6
2020,jacket ,0.74
2020,smart shoes,0.36
2021,suit ,0.7
2021,shirt,1.1
2021,trousers ,0.55
2021,blouse,1.1
2021,tie,0.55
2021,jacket ,1.1
2021,smart shoes,0.48
2022,suit ,0.0
2022,shirt,0.88
2022,trousers ,0.44
2022,blouse,0.88
2022,tie,0.4
2022,jacket ,0.88
2022,smart shoes,0.36
