Country Name,Year,GDPgrowth
Estonia,2000,10.08763444
Estonia,2001,6.003674251
Estonia,2002,6.77136793
Estonia,2003,7.600265185
Estonia,2004,6.804007771
Estonia,2005,9.526426972
Estonia,2006,9.76558337
Estonia,2007,7.57914052
Estonia,2008,-5.132000958
Estonia,2009,-14.62905503
Estonia,2010,2.444265118
Estonia,2011,7.263084581
Estonia,2012,3.228200494
Estonia,2013,1.458428636
Estonia,2014,3.011366587
Estonia,2015,1.853020046
Estonia,2016,3.155564814
Estonia,2017,5.792044675
Estonia,2018,3.78420085
Estonia,2019,3.739706682
Estonia,2020,-0.551001258
Estonia,2021,8.013462924
United Kingdom,2000,4.092653478
United Kingdom,2001,2.157428178
United Kingdom,2002,1.770765299
United Kingdom,2003,3.123053313
United Kingdom,2004,2.344971482
United Kingdom,2005,2.668337657
United Kingdom,2006,2.160405321
United Kingdom,2007,2.563460461
United Kingdom,2008,-0.154344315
United Kingdom,2009,-4.5104856
United Kingdom,2010,2.430072895
United Kingdom,2011,1.067610914
United Kingdom,2012,1.448456757
United Kingdom,2013,1.819863375
United Kingdom,2014,3.199702626
United Kingdom,2015,2.393103184
United Kingdom,2016,2.165206211
United Kingdom,2017,2.44357047
United Kingdom,2018,1.705021022
United Kingdom,2019,1.604308648
United Kingdom,2020,-11.03085846
United Kingdom,2021,7.524910374
